monthly_income,income_stability,bill_payment_ratio,recharge_regularity,monthly_spending,savings_ratio,transaction_frequency,payment_delay_days,spending_to_income,cashflow_consistency,risk_band
25795,3,0.57,8,32197,0.0,145,8,1.25,3,HIGH
10860,5,0.58,9,27010,0.0,145,0,2.49,7,HIGH
86820,5,0.88,3,29123,0.6,90,25,0.34,1,HIGH
64886,5,0.72,3,7890,0.6,56,5,0.12,9,LOW
16265,3,0.59,2,13026,0.2,115,5,0.8,6,HIGH
92386,10,0.77,8,69925,0.24,113,21,0.76,4,MEDIUM
47194,4,0.83,10,73842,0.0,90,28,1.56,3,HIGH
97498,9,0.56,1,38665,0.6,47,11,0.4,3,MEDIUM
54131,10,0.65,8,14277,0.6,46,21,0.26,2,LOW
70263,9,0.47,7,47239,0.33,94,11,0.67,2,MEDIUM
26023,2,0.51,7,52664,0.0,119,9,2.02,10,HIGH
51090,8,0.81,3,53008,0.0,30,22,1.04,5,HIGH
77221,8,0.51,1,19683,0.6,47,29,0.25,9,MEDIUM
74820,7,0.72,4,5670,0.6,81,25,0.08,2,MEDIUM
10769,8,0.83,9,22889,0.0,141,5,2.13,2,MEDIUM
69735,3,0.46,5,60612,0.13,24,16,0.87,6,HIGH
72955,6,0.74,1,49535,0.32,43,18,0.68,10,MEDIUM
74925,1,0.55,5,59319,0.21,16,17,0.79,2,HIGH
77969,7,0.98,8,26639,0.6,15,5,0.34,4,LOW
15311,1,0.69,8,69712,0.0,46,23,4.55,6,HIGH
93104,9,0.88,5,21633,0.6,15,18,0.23,5,LOW
63707,1,0.73,9,39660,0.38,42,9,0.62,1,HIGH
95305,1,0.43,1,73975,0.22,102,23,0.78,6,HIGH
38693,7,0.78,4,37172,0.04,23,7,0.96,1,HIGH
81932,2,0.97,3,64197,0.22,138,20,0.78,3,HIGH
35658,5,0.76,2,63847,0.0,120,23,1.79,10,HIGH
94478,8,0.89,8,16577,0.6,117,5,0.18,5,LOW
28431,8,0.93,7,25176,0.11,69,20,0.89,10,LOW
12747,3,0.54,9,49386,0.0,103,24,3.87,5,HIGH
69150,7,0.53,2,68972,0.0,76,29,1.0,10,HIGH
75725,3,0.77,4,46003,0.39,56,6,0.61,6,MEDIUM
94654,6,0.65,6,24996,0.6,122,23,0.26,10,LOW
45773,6,0.9,3,40931,0.11,124,0,0.89,8,LOW
77435,3,0.94,8,40710,0.47,11,26,0.53,5,MEDIUM
66886,7,0.61,3,39693,0.41,15,17,0.59,1,HIGH
76803,3,0.54,2,40740,0.47,107,23,0.53,5,HIGH
41551,8,0.87,3,22374,0.46,65,27,0.54,3,MEDIUM
21394,10,0.56,6,50913,0.0,72,24,2.38,4,HIGH
79092,4,0.89,2,71025,0.1,144,19,0.9,8,HIGH
13890,1,0.65,8,49516,0.0,106,11,3.56,7,HIGH
51606,4,0.8,1,31069,0.4,114,15,0.6,5,HIGH
90038,7,0.46,7,61233,0.32,144,9,0.68,2,MEDIUM
97313,4,0.77,2,64049,0.34,55,26,0.66,6,HIGH
20627,6,0.67,10,44178,0.0,121,9,2.14,6,HIGH
18792,9,0.75,6,37821,0.0,50,13,2.01,10,MEDIUM
83969,1,0.5,2,56727,0.32,57,24,0.68,10,HIGH
53001,5,0.84,2,65935,0.0,92,19,1.24,6,HIGH
86552,7,0.92,10,21999,0.6,125,9,0.25,9,LOW
